
Rocchio,0.23066414,20,40
GeneIndex,0.24057988,20,40
ChiSquareProbabilityBased,0.26240031,25,40
ChiSquare,0.28622165,25,40
KLDivergence2,0.24904116,25,40
RSV2,0.23810422,25,40
CoDice,0.25116022,25,40
IG,0.24168950,25,40
LRF,0.24248903,25,40
MFT,0.06730693,25,40
PRF,0.25032180,25,40
Rocchio,0.23560163,25,40
GeneIndex,0.23972185,25,40
ChiSquareProbabilityBased,0.25986600,30,40
ChiSquare,0.28498664,30,40
KLDivergence2,0.23915216,30,40
RSV2,0.23160181,30,40
CoDice,0.25425029,30,40
IG,0.24031198,30,40
LRF,0.23389423,30,40
MFT,0.06625937,30,40
PRF,0.24813134,30,40
Rocchio,0.23033199,30,40
GeneIndex,0.23803691,30,40
ChiSquareProbabilityBased,0.25875193,35,40
ChiSquare,0.28798746,35,40
KLDivergence2,0.23258934,35,40
